CWEID,description
1021,-
113,-
116,-
117,"Improper Output Neutralization for Logs"
118,"Incorrect Access of Indexable Resource ('Range Error')"
1187,-
119,"Improper Restriction of Operations within the Bounds of a Memory Buffer"
120,"Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"
121,"Stack-based Buffer Overflow"
122,"Heap-based Buffer Overflow"
123,"Write-what-where Condition"
124,"Buffer Underwrite ('Buffer Underflow')"
125,"Out-of-bounds Read"
126,"Buffer Over-read"
1260,"Improper Handling of Overlap Between Protected Memory Ranges"
127,"Buffer Under-read"
129,"Improper Validation of Array Index"
130,"Improper Handling of Length Parameter Inconsistency"
131,"Incorrect Calculation of Buffer Size"
1335,"Incorrect Bitwise Shift of Integer"
134,"Use of Externally-Controlled Format String"
135,"Incorrect Calculation of Multi-Byte String Length"
16,-
17,-
170,"Improper Null Termination"
18,-
188,"Reliance on Data/Memory Layout"
189,"Numeric Errors"
19,-
190,"Integer Overflow or Wraparound"
191,"Integer Underflow (Wrap or Wraparound)"
193,"Off-by-one Error"
194,"Unexpected Sign Extension"
195,"Signed to Unsigned Conversion Error"
196,"Unsigned to Signed Conversion Error"
197,"Numeric Truncation Error"
199,"Information Management Errors"
20,"Improper Input Validation"
200,"Exposure of Sensitive Information to an Unauthorized Actor"
203,-
209,"Generation of Error Message Containing Sensitive Information"
211,"Externally-Generated Error Message Containing Sensitive Information"
212,-
216,-
22,"Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"
23,"Relative Path Traversal"
241,-
243,"Creation of chroot Jail Without Changing Working Directory"
244,"Improper Clearing of Heap Memory Before Release ('Heap Inspection')"
248,"Uncaught Exception"
25,-
251,"Often Misused: String Management"
252,"Unchecked Return Value"
253,"Incorrect Check of Function Return Value"
254,-
255,-
256,"Plaintext Storage of a Password"
258,"Empty Password in Configuration File"
259,"Use of Hard-coded Password"
264,"Permissions, Privileges, and Access Controls"
265,"Privilege / Sandbox Issues"
266,-
269,-
27,-
273,-
276,-
281,-
284,"Improper Access Control"
285,-
287,"Improper Authentication"
288,-
29,-
290,-
294,-
295,-
297,-
303,-
307,-
310,-
311,"Missing Encryption of Sensitive Data"
319,-
320,-
323,"Reusing a Nonce, Key Pair in Encryption"
326,"Inadequate Encryption Strength"
327,"Use of a Broken or Risky Cryptographic Algorithm"
328,"Use of Weak Hash"
329,"Generation of Predictable IV with CBC Mode"
330,-
331,-
335,-
34,-
345,-
346,-
347,-
349,-
352,"Cross-Site Request Forgery (CSRF)"
354,-
358,-
36,"Absolute Path Traversal"
362,"Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')"
363,"Race Condition Enabling Link Following"
364,"Signal Handler Race Condition"
366,"Race Condition within a Thread"
367,"Time-of-check Time-of-use (TOCTOU) Race Condition"
369,"Divide By Zero"
378,"Creation of Temporary File With Insecure Permissions"
382,"J2EE Bad Practices: Use of System.exit()"
388,-
390,"Detection of Error Condition Without Action"
391,"Unchecked Error Condition"
393,"Return of Wrong Status Code"
398,"Indicator of Poor Code Quality"
399,"Resource Management Errors"
400,"Uncontrolled Resource Consumption"
401,"Missing Release of Memory after Effective Lifetime"
404,"Improper Resource Shutdown or Release"
406,-
41,"Improper Resolution of Path Equivalence"
411,"Resource Locking Problems"
412,"Unrestricted Externally Accessible Lock"
413,"Improper Resource Locking"
414,"Missing Lock Check"
415,"Double Free"
416,"Use After Free"
417,"Communication Channel Errors"
426,"Untrusted Search Path"
427,"Uncontrolled Search Path Element"
428,-
434,-
436,-
444,-
457,"Use of Uninitialized Variable"
459,"Incomplete Cleanup"
460,"Improper Cleanup on Thrown Exception"
464,"Addition of Data Structure Sentinel"
466,"Return of Pointer Value Outside of Expected Range"
467,"Use of sizeof() on a Pointer Type"
468,"Incorrect Pointer Scaling"
469,"Use of Pointer Subtraction to Determine Size"
475,-
476,"NULL Pointer Dereference"
478,"Missing Default Case in Switch Statement"
479,"Signal Handler Use of a Non-reentrant Function"
481,"Assigning instead of Comparing"
483,"Incorrect Block Delimitation"
484,"Omitted Break Statement in Switch"
489,"Active Debug Code"
491,"Public cloneable() Method Without Final ('Object Hijack')"
494,"Download of Code Without Integrity Check"
495,"Private Data Structure Returned From A Public Method"
496,"Public Data Assigned to Private Array-Typed Field"
499,"Serializable Class Containing Sensitive Data"
500,"Public Static Field Not Marked Final"
502,"Deserialization of Untrusted Data"
522,-
532,"Insertion of Sensitive Information into Log File"
54,-
543,"Use of Singleton Pattern Without Synchronization in a Multithreaded Context"
552,-
561,"Dead Code"
562,"Return of Stack Variable Address"
563,"Assignment to Variable without Use"
564,"SQL Injection: Hibernate"
565,-
567,"Unsynchronized Access to Shared Data in a Multithreaded Context"
568,"finalize() Method Without super.finalize()"
572,"Call to Thread run() instead of start()"
580,"clone() Method Without super.clone()"
581,"Object Model Violation: Just One of Equals and Hashcode Defined"
582,"Array Declared Public, Final, and Static"
584,"Return Inside Finally Block"
59,-
590,"Free of Memory not on the Heap"
591,"Sensitive Data Storage in Improperly Locked Memory"
595,"Comparison of Object References Instead of Object Contents"
601,"URL Redirection to Untrusted Site ('Open Redirect')"
606,"Unchecked Input for Loop Condition"
609,"Double-Checked Locking"
61,-
611,-
613,-
614,"Sensitive Cookie in HTTPS Session Without 'Secure' Attribute"
617,"Reachable Assertion"
62,-
628,"Function Call with Incorrectly Specified Arguments"
65,-
662,"Improper Synchronization"
663,"Use of a Non-reentrant Function in a Concurrent Context"
665,"Improper Initialization"
667,"Improper Locking"
668,"Exposure of Resource to Wrong Sphere"
670,-
672,"Operation on a Resource after Expiration or Release"
674,"Uncontrolled Recursion"
680,"Integer Overflow to Buffer Overflow"
681,"Incorrect Conversion between Numeric Types"
682,"Incorrect Calculation"
686,"Function Call With Incorrect Argument Type"
690,"Unchecked Return Value to NULL Pointer Dereference"
693,-
697,-
703,-
704,"Incorrect Type Conversion or Cast"
706,-
707,-
730,"OWASP Top Ten 2004 Category A9 - Denial of Service"
732,"Incorrect Permission Assignment for Critical Resource"
74,"Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')"

